sepal_length,sepal_width,petal_length,petal_width,species_pred,prob
5.5,2.5,4.0,1.3,versicolor,0.9649161234234501
6.9,3.1,5.1,2.3,virginica,0.9641778281016735
5.1,2.5,3.0,1.1,versicolor,0.9498021156424302
4.4,2.9,,0.2,setosa,0.6453943137768106
5.9,3.0,5.1,1.8,virginica,0.7630971587818847
5.5,3.5,1.3,0.2,setosa,0.9589016385760624
5.6,,3.6,1.3,versicolor,0.9385133922640084
6.5,3.0,5.2,2.0,virginica,0.9531856344135196
5.3,3.7,1.5,0.2,setosa,0.9656527502868992
5.1,3.4,1.5,,setosa,0.8173913294879652
6.1,2.8,4.0,1.3,versicolor,0.9787974005114501
5.5,2.4,3.7,1.0,versicolor,0.977992445955461
7.7,3.0,6.1,2.3,virginica,0.9486115683620211
6.9,3.1,4.9,1.5,versicolor,0.7177053596381697
6.0,2.2,5.0,1.5,versicolor,0.5116476303823998
